"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"The Casita on Hether St",3333277,"Gisela",null,78704,30.25278,-97.77303,"Entire home/apt",139,2,141,"2021-08-02",4.48,1,71,9,null
"Brentwood Bungalow-Central-2 BDRMS",543367,"Mary",null,78757,30.33529,-97.72924,"Entire home/apt",160,30,21,"2021-06-26",0.41,2,187,3,null
"2B/2B Condo in Downtown Austin",3343870,"Brandon",null,78703,30.26869,-97.75165,"Entire home/apt",493,5,2,"2014-03-13",0.02,1,0,0,null
"Charming Hill Country Cottage -Multiple Night Stay",265070,"Lata",null,78733,30.34998,-97.85608,"Private room",82,2,175,"2021-08-28",7.02,2,140,10,null
"A Place To Stay In Austin",2885190,"John & Carol",null,78704,30.24706,-97.75664,"Entire home/apt",400,5,156,"2020-02-18",1.6,1,0,0,null
"Private Upstairs Oasis!",3434065,"Leia & Keri",null,78748,30.15374,-97.80159,"Private room",66,1,253,"2020-03-13",2.94,2,0,0,null
"Cozy/ Private Rm in S. Austin!",3434065,"Leia & Keri",null,78748,30.15391,-97.80261,"Private room",49,1,417,"2020-02-16",5.19,2,44,0,null
"Austin Mid Century Modern for SXSW",3484128,"Chad",null,78746,30.27294,-97.79612,"Entire home/apt",2000,3,0,null,null,1,0,0,null
"5 Star Gorgeous and Spacious Downtown Austin 4BR",3495665,"Laura",null,78703,30.2803,-97.75612,"Entire home/apt",820,2,28,"2021-10-11",0.31,1,345,2,null
"CampEZ-1 in SxS Austin TX",1568741,"Jim O'",null,78745,30.21038,-97.76873,"Entire home/apt",18,2,26,"2021-10-10",0.41,12,359,11,null
"Comfy 3/2 Home on UT shuttle",3509782,"Meaghan",null,78731,30.3513,-97.76011,"Entire home/apt",275,2,67,"2020-02-28",0.65,1,0,0,null
"My Treehouse Home in South Austin",3539325,"Garret",null,78704,30.23537,-97.75171,"Entire home/apt",55,30,62,"2021-01-28",0.67,2,151,1,null
"""Beautiful duplex, perfect for SXSW!""",3547591,"Alana",null,78704,30.24313,-97.74225,"Entire home/apt",545,2,0,null,null,1,0,0,null
"Walk to SXSW - Downtown Studio!!",3579720,"Ryan",null,78704,30.25689,-97.74658,"Private room",250,3,0,null,null,1,0,0,null
"""Urban Oasis! Near Downtown, Great for Work at Home""",3584580,"Katherine",null,78731,30.31268,-97.75381,"Entire home/apt",183,30,50,"2021-10-11",0.46,3,127,11,null
"1 rm in house - 10 mi from SXSW!!",3587826,"David",null,78745,30.19411,-97.78186,"Entire home/apt",400,1,0,null,null,1,0,0,null
"Boutique Condo in Historic Clarksville- near SXSW",2697403,"Sabrina",null,78703,30.28065,-97.75971,"Entire home/apt",225,2,9,"2018-04-06",0.21,1,0,0,null
"Charming garden home for F1 weekend",3598921,"David",null,78759,30.37102,-97.74446,"Entire home/apt",1250,2,0,null,null,1,0,0,null
